code,name,price,trend,momentum,volatility,volume,sr,pattern,sentiment,raw,adj,final,zone,action,weekly_raw,g5,g10,ext,rsi,dist_flags,mct,sector,mcap,avgvol
TRRE,Terra Energy Res,0.045,17,9,12,18,6,3,5,70,4.0,79.0,Strong,Enter w/ confidence,70,12.5,12.5,11.4,76.1,2,,Real Estate,16735167.0,4786.0
AGCI,American Gold & Copper Inc.,0.03,11,14,9,12,3,5,5,59,4.0,69.0,Moderate,Enter w/ caution,59,10.0,10.8,8.6,55.1,2,,Communication Services,19194622.0,1125786.36
TERCF,TerraCom Limited,0.052,10,14,9,13,5,7,5,63,-3.0,68.0,Moderate,🔥 COILED: Enter w/ caution,44,10.1,2.5,4.6,53.7,1,,Energy,94907576.0,483626.94
AGXPF,Silver X Mining Corp,0.697,16,12,7,16,6,7,5,69,-2.0,68.0,Moderate,Enter w/ caution,57,9.9,29.4,19.3,71.5,2,,Basic Materials,182141328.0,495183.93
QQCMF,QQCMF,0.08,15,10,7,15,8,3,5,63,4.0,67.0,Moderate,Enter w/ caution,41,10.4,10.4,12.9,59.8,2,,nan,nan,189430.79
EMUS,Electric Metals (USA) Limited,0.15,13,14,8,10,4,6,5,60,4.0,67.0,Moderate,Enter w/ caution,25,9.9,16.6,10.6,56.9,2,,Basic Materials,29164078.0,79968.96
NAMMW,Namib Minerals Warrants,0.242,12,16,11,10,6,0,4,59,4.0,66.0,Moderate,Enter w/ caution,61,8.7,6.8,7.2,54.1,0,,nan,nan,49998.43
BGAVF,Bravada Gold Corporation,0.735,17,10,5,17,7,7,5,68,-2.0,66.0,Moderate,Enter w/ caution,68,16.7,22.4,13.7,67.4,2,,Basic Materials,20701096.0,23898.41
LOECF,Logan Energy Corp.,0.827,18,9,6,15,6,11,5,70,0.0,66.0,Moderate,Enter w/ caution,66,4.6,27.6,12.2,72.2,2,,Energy,566781824.0,81975.39
AIJTY,Jianpu Technology Inc.,0.926,14,11,11,10,4,7,5,62,-1.0,66.0,Moderate,Enter w/ caution,47,9.7,9.7,8.4,78.9,1,,Financial Services,18544242.0,6822.11
GBAT,Grayscale Basic Attention Token Trust,0.715,17,11,10,16,4,2,5,65,0.0,65.0,Moderate,Enter w/ caution,45,19.2,10.0,13.2,61.4,2,,nan,nan,20983.84
MMTMF,Monument Mining Limited,0.695,16,11,7,13,4,7,5,63,1.0,64.0,Moderate,Enter w/ caution,54,12.5,17.6,14.0,67.7,2,,Basic Materials,239236880.0,89508.79
EMPYF,Empress Royalty Corp,0.715,17,9,6,12,7,9,5,65,1.0,64.0,Moderate,Enter w/ caution,56,7.1,14.2,8.2,67.8,2,,Basic Materials,97991720.0,383132.12
